Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.047","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.984","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.246","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.194","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2007","2007","°c","0.939","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.73","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.101","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.579","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.147","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2012","2012","°c","0.645","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.042","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.039","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.158","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.278","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.406","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.121","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.22","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.265","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.665","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.042","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2023","2023","°c","1.676","E","Estimated value"
"ET","Temperature change on land","011","Western Africa","7271","Temperature change","7020","Meteorological year","2024","2024","°c","1.67","E","Estimated value"
